question_en,question_ne,response_en,response_ne,intent
What foods help reduce period cramps?,Mahina ko pet dukhai kam garna kun khana madad garna sakchha?,"Foods rich in magnesium like bananas, spinach, and nuts can help reduce cramps.","Magnesium le bhari khana jastai kera, palungo, ra badam le pet dukhai kam garna sakchha.",diet_intent
What should I eat during my period?,Mahina ko bela ma maile ke khanuparcha?,"Eat iron-rich foods like leafy greens, lentils, and lean meat to replenish lost iron.","Hariyo patyaune sabji, masoor dal, ra lean meat jastai iron yukta khana khanuparcha.",diet_intent
What foods should I avoid during my period?,Period ko bela k khana avoid garne?,"Avoid salty, sugary, and processed foods, as they can cause bloating and mood swings.","Nunilo, chiniyukta, ra processed khana parihej garnuparcha, kinaki yo phulne ra mood swing hunesamasyalai badhai dinchha.",diet_intent
Can spicy food affect my period?,Period ko bela piro le asar parcha?,Spicy food may not directly affect your period but can cause digestive issues.,"Piro khana le sidha mahina ma prabhav nagaraune ho, tara pachan sambandhi samasya badhauna sakchha.",diet_intent
Does drinking coffee during periods cause problems?,Mahina ko bela coffee piunda samasya hunchha?,"Too much coffee can worsen cramps and cause dehydration, so it's best to limit it.","Dherai coffee le pet dukhai badhaune ra sharir dehydrated garna sakchha, tyesai le coffee ko matra kam garnuparcha.",diet_intent
What foods can delay periods naturally?,Kun khane kura le period dhilo huna sakcha?,"Some believe consuming papaya, pineapple, or spicy food can affect period timing, but there is limited scientific evidence.","Kehi manchele papaya, ananas, ra piro khana le mahina ko samay badalne ma biswas garne garchan, tara thulo vaigyanik pramaan chaina.",diet_intent
Can eating chocolate help during periods?,Chocolate khada period ma help garcha?,"Dark chocolate, which contains magnesium, may help reduce cramps and boost mood.","Dark chocolate jasle magnesium linchha, le pet dukhai kam garna ra mood boost garna sakchha.",diet_intent
Is it okay to fast during my period?,Mahina ko bela upwas basna thik ho?,"Fasting can affect energy levels and cause weakness, so it's important to stay hydrated and eat nutrient-rich foods.","Upwas le urja ko star kam garna ra kamjori huncha, tyesai le paani ramrari piune ra poshaktatv yukta khana khanu jaruri huncha.",diet_intent
Should I increase my water intake during my period?,Mahina ko bela ma paani ko matra badhaune ho?,"Yes, drinking more water helps reduce bloating and prevents dehydration.","Ho, dherai paani piuda phulne kam huncha ra dehydrated bhaihaldaina.",diet_intent
How much iron should I consume during my period?,Period ko bela kati iron khanu parcha?,"Women need 18 mg of iron daily, but this requirement increases during menstruation.",Mahina ko bela ma mahila harulai dainik 18 mg bhandaa badhi iron ko aawashyakta huncha.,diet_intent
What foods are high in iron?,Kun khane kura haru iron ma high hunchan?,"Iron-rich foods include spinach, lentils, red meat, and tofu.","Iron yukta khana ma palungo, masoor dal, rato masu, ra tofu sammilit hun.",diet_intent
Can I take iron supplements during my period?,Mahina ko bela ma iron supplement linu huncha?,"Yes, but consult a doctor if you have heavy bleeding or feel fatigued during your period.","Ho, tara yadi dherei ragat bagcha ya thakai mahasoos huncha bhane doctor sanga paramarsha garnuparcha",diet_intent
Why do I crave sweets during my period?,Mahina ko bela ma malai metho khana kina man lagchha?,"Hormonal changes cause cravings for sweets, especially due to serotonin fluctuations","Hormone ko badalaw le serotonin ko star farak parcha, jasko karan metho khana khane ichha badhauna sakchha.",diet_intent
What can I eat to reduce mood swings during my period?,Mood swing kam garna maile ke khanuparcha?,Eating magnesium-rich foods like bananas and dark chocolate can stabilize mood.,Kera ra dark chocolate jastai magnesium yukta khana le mood niyantran garna sakchha.,diet_intent
What diet is good for PCOS and PCOD?,PCOS ra PCOD ko lagi kun aahaar ramro ho?,"A low-sugar, high-fiber, and high-protein diet can help manage PCOS symptoms.","Kam chini, dherai fiber ra protein yukta aahaar le PCOS ko lakshan niyantran garna sakchha.",diet_intent
What foods worsen PCOS symptoms?,Kun khana le PCOS ko lakshan bigarna sakchha?,"Processed foods, refined sugar, and trans fats can worsen PCOS symptoms.","Processed khana, chini, ra trans fat le PCOS ko lakshan bigarna sakchha.",diet_intent
Can ginger tea help with period pain?,Ginger tea le period pain kam garcha?,"Yes, ginger tea has anti-inflammatory properties that relieve period cramps.","Ho, ginger tea ma anti-inflammatory gun huncha, jasle mahina ko dukhai kam garchha.",diet_intent
Why do I crave junk food during my period?,Mahina ko bela malai junk food khana kina man lagchha?,"Hormonal changes increase serotonin demand, leading to cravings for comfort foods","Hormone ko badalaw le serotonin ko aawashyakta badhaunchha, jasle comfort food khane ichha badhauna sakchha.",diet_intent
How can I control cravings during my period?,Mahina ko bela craving kasari control garna sakchhu?,"Eating healthy snacks like fruits, nuts, and whole grains can reduce cravings.","Falful, badam, ra whole grains jastai healthy snacks khane le craving kam huncha.",diet_intent
Can diet improve PCOS symptoms?,PCOS ko lakshan diet le improve garna sakchha?,"Yes, a low-sugar, high-fiber, and anti-inflammatory diet can reduce PCOS symptoms.","Ho, chini kam, dherai fiber, ra anti-inflammatory diet le PCOS ko lakshan kam garna sakchha.",diet_intent
Can dairy affect PCOS symptoms?,Dairy le PCOS ko lakshan ma prabhav parcha?,"Dairy may affect insulin levels in some people with PCOS, so consult a doctor.","Kehi manche ko PCOS ma dairy le insulin ko star ma prabhav parcha, tyesai le doctor sanga paramarsha garnuparcha.",diet_intent
Should I avoid cold drinks during my period?,Mahina ko bela ma thanda drink parihej garnu parcha?,"Cold drinks don’t directly affect periods, but avoid sugary sodas to prevent bloating.","Cold drink le sidha mahina ma prabhav nagaraune, tara sugary soda le phulne samasya badhauna sakchha.",diet_intent
Can I eat fast food during my period?,Period ko bela fast food khana milcha?,It’s best to limit fast food as it contains high salt and unhealthy fats that cause bloating.,"Fast food ma dherai nun ra unhealthy fat huncha, jasle phulne samasya badhauna sakchha, tyesai le parihej garnuparcha.",diet_intent
How much water should I drink during my period?,Period ko bela kati paani piunu parcha?,Drink 8-10 glasses of water daily to prevent bloating and dehydration.,Dainik 8-10 glass paani piune le phulne ra dehydration bata bachna madad garchha.,diet_intent
Can I drink herbal tea during my period?,Mahina ko bela herbal tea piuna sakchhu?,"Yes, teas like chamomile and ginger tea help relieve cramps.","Ho, chamomile ra ginger tea le dukhai kam garna madad garchha.",diet_intent
What is menopause?,Menopause bhaneko ke ho?,"Menopause is when periods stop permanently, usually after age 45-50.","Menopause bhaneko period permanently rokinu ho, jastai 45-50 barsa pachhi.",menopause_intent
When does menopause usually happen?,Menopause kaile huncha?,"Menopause typically occurs between ages 45 and 55, but it can happen earlier or later for some women.","Menopause aam torma 45 dekhi 55 barsha ko bichma hunchha, tara kei mahilako lai yo arko samayma pani huna sakcha.",menopause_intent
What are the symptoms of menopause?,Menopause ko lakshyan k ho?,"Symptoms of menopause include hot flashes, night sweats, mood changes, and irregular periods.","Menopause ko lakshan haru ma hot flashes, raatko pasina, manobhaavna ma parivartan, ani aniyamit mahine hunchhan.",menopause_intent
How can I manage hot flashes?,Hot flashes kasari manage garne?,"To manage hot flashes, try staying cool, wearing loose clothing, and avoiding spicy foods.","Hot flashes samhalna, thanda rahne, dhilo kapda lagane, ani taikha khana bhagne garne.",menopause_intent
Is menopause the same as perimenopause?,Menopause ra perimenopause ek jasto ho?,"No, menopause refers to the time when you haven't had a period for 12 months, while perimenopause is the transition period leading up to menopause.","Hoina, menopause bhaneko tyo samay ho, jaba tapaile 12 mahina samma mahine na paunu hunchha, ra perimenopause bhaneko menopause samma ko badalne samay ho.",menopause_intent
Can I still get pregnant after menopause?,Menopause pachi ma garbhavati hunu sakchhu?,"After menopause, pregnancy is very unlikely because ovulation stops, but if you are still having periods, pregnancy is possible.","Menopause pachi, garbhavati hunu sambhavana nikai kam hunchha, kina bhane ovulation bandha hunchha, tara yadi tapaile mahine pairahi raheko cha bhane garbhavati hunu sambhavana cha.",menopause_intent
What are night sweats?,Raatko pasina ke ho?,"Night sweats are episodes of sweating during sleep, commonly associated with menopause due to hormonal changes.","Raatko pasina sutai raheko samaya ma pasina aune ho, jun menopause sanga sambandhit huncha hormonal parivartan ko karan.",menopause_intent
What causes menopause?,Menopause kasari huncha?,Menopause is caused by a decrease in the production of hormones such as estrogen and progesterone as a woman ages.,Menopause mahilako umar barhne sath estrogen ra progesterone jasta hormone haru ko utpadan kam hune karan hunchha.,menopause_intent
Can menopause affect my mood?,Menopause le mood ma asar parcha?,": Yes, hormonal changes during menopause can cause mood swings, irritability, and anxiety.","Ho, menopause ko samayma hormonal parivartan le manobhaavna haru, chidhchidhapan, ra chinta ko karan banaucha.",menopause_intent
How long do menopause symptoms last?,Menopause ko lakshan katha samay samma rahanchha?,"Menopause symptoms can last for a few years, but they typically subside within 2-5 years after menopause begins.","Menopause ko lakshan kehi barsa samma rahna sakcha, tara aam torma menopause suru bhayepachi 2-5 barsa bhitra chhato puri hunchhan.",menopause_intent
What is perimenopause?,Perimenopause ke ho?,"Perimenopause is the transitional period before menopause, where hormonal changes begin to occur and menstrual cycles become irregular.","Perimenopause menopause ko agadi ko samay ho, jaha hormonal parivartan haru suru huncha ra mahine aniyamit hunchha.",menopause_intent
Can menopause cause weight gain?,Menopause le wazan badhne ho?,"Yes, hormonal changes during menopause can lead to weight gain, particularly around the abdomen.","Ho, menopause ko samayma hormonal parivartan le wazan badhuna sakcha, khas garera petko chhetra ma.",menopause_intent
Is it normal to miss periods during perimenopause?,Perimenopause ko samayma mahine chhodi dine normal ho?,"Yes, it is common to experience missed periods during perimenopause due to hormonal fluctuations.","Ho, perimenopause ko samayma hormonal badlaav ko karan mahine chhodi dinu samanya ho.",menopause_intent
